,num,name,sr,hr,lr,bic
894,894,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0028,10968,9952,582,8891
895,895,682789_1269014_2017-08-10_1018_BGRN_Analytic_s0235,127809,128179,8044,128890
896,896,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0254,213960,216797,13695,219610
897,897,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0016,16557,16940,960,14505
898,898,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0670,169311,168784,10610,169823
899,899,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0389,4047,4110,244,3735
900,900,715013_1166017_2017-08-27_1032_BGRN_Analytic_s0061,222368,222186,13984,224287
901,901,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0608,15568,15120,898,13989
902,902,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0443,16612,16427,989,15735
903,903,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0605,214808,214918,13469,215711
904,904,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0599,0,0,0,0
905,905,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0568,225782,225833,14138,226403
906,906,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0141,114375,113096,7203,116141
907,907,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0568,216846,217028,13581,217475
908,908,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0733,168173,168074,10551,169276
909,909,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0915,150747,152513,9740,157213
910,910,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0408,30948,30919,1935,30825
911,911,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0690,30604,29954,1830,28630
912,912,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0843,14593,14784,837,13020
913,913,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0678,29576,29405,1774,28096
914,914,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0926,195317,197059,12391,199173
915,915,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0802,109149,109037,6823,109064
916,916,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0838,201304,201546,12621,202244
917,917,682789_1269014_2017-08-10_1018_BGRN_Analytic_s0182,155880,157018,9845,157932
918,918,503058_1168617_2017-05-14_0e0f_BGRN_Analytic_s0184,0,0,0,0
919,919,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0003,8039,7982,405,5833
920,920,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0098,229295,229449,14361,229850
921,921,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0860,144606,146429,9271,149570
922,922,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0745,144318,145871,9193,147371
923,923,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0103,116439,117639,7479,120442
924,924,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0564,0,0,0,0
925,925,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0580,161842,162011,10159,162605
926,926,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0611,69,68,3,48
927,927,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0786,193461,194736,12263,196872
928,928,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0300,50606,50700,3166,50763
929,929,660535_1066622_2017-08-01_1041_BGRN_Analytic_s1016,181971,184382,11683,187590
930,930,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0522,0,0,0,0
931,931,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0528,166247,167172,10458,167605
932,932,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0769,19108,19123,1202,19123
933,933,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0165,0,0,0,0
934,934,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0783,133084,133467,8402,134812
935,935,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0232,196470,197335,12367,198007
936,936,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0483,91789,92661,5850,93672
937,937,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0235,178320,178475,11203,179743
938,938,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0889,193019,194793,12327,198289
939,939,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0484,1309,1319,79,1279
940,940,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0097,174871,175130,11000,175626
941,941,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0546,76703,78416,4890,77603
942,942,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0351,177919,179220,11260,179973
943,943,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0029,0,0,0,0
944,944,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0275,7821,7778,453,7109
945,945,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0238,83996,84191,5270,84380
946,946,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0479,14685,14660,915,14564
947,947,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0154,115795,115812,7240,115764
948,948,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0090,181149,182045,11385,182445
949,949,635218_1368610_2017-07-20_1011_BGRN_Analytic_s0145,0,0,0,0
950,950,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0366,113019,114113,7163,114426
951,951,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0727,0,0,0,0
952,952,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0048,27112,27080,1709,27370
953,953,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0349,130293,133114,8370,134137
954,954,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0133,157168,157932,9925,158978
